,Date,Underlying,C120,C125,C130,C135
0,2021-12-20,127.06,9.81,6.9,4.44,2.81
1,2021-12-21,128.97,11.6,7.91,5,3.15
2,2021-12-22,129.75,11.6,8.06,5.2,3.15
3,2021-12-23,130.63,12.7,8.4,5.7,3.45
4,2021-12-27,131.62,13.05,9.1,5.75,3.5
5,2021-12-28,132.63,13.25,9.98,6.5,3.9
6,2021-12-29,133.35,14.92,10.82,7.3,4.54
7,2021-12-30,133.91,14.87,10.76,7.15,4.3
8,2021-12-31,133.66,14.65,11.05,7.13,4.5
9,2022-01-03,136.04,16.7,12.5,8.61,5.45
10,2022-01-04,138.02,18.72,15.25,10.75,7.0
11,2022-01-05,138.22,19.25,17.13,10.66,7.45
12,2022-01-06,135.34,16.7,12.4,8.77,5.85
13,2022-01-07,134.83,16.05,11.7,8.38,5.2
14,2022-01-10,135.03,15.5,11.75,8.55,5.29
15,2022-01-11,132.87,13.05,10.03,6.35,4.15
16,2022-01-12,133.59,14.53,10.44,7,4.3
17,2022-01-13,134.76,16.2,11.9,8,5.1
18,2022-01-14,134.21,15.2,,7.6,4.65
19,2022-01-18,132.94,14.45,10.15,7.25,4.27
20,2022-01-19,131.58,,,6.45,3.9
21,2022-01-20,130.82,12.95,9.75,5.7,3.35
22,2022-01-21,129.35,,8.65,5.75,3.58
23,2022-01-24,128.82,10.7,8.05,5.92,3.48
24,2022-01-25,136.1,16.5,13.15,8.55,5.2
25,2022-01-26,134.26,15.8,10.82,6.06,4.0
26,2022-01-27,132.52,14.2,9.48,5.73,3.35
27,2022-01-28,134.5,13.8,10.1,6.15,3.75
28,2022-01-31,133.57,13.23,8.95,5.55,2.81
29,2022-02-01,135.53,15.8,9.1,6.65,3.55
30,2022-02-02,137.25,17.2,12.5,7.87,4.32
31,2022-02-03,137.78,18.13,13.06,8.67,5.05
32,2022-02-04,137.15,,12.6,8.3,4.6
33,2022-02-07,137.24,17.65,12.2,7.85,4.2
34,2022-02-08,137.02,16.85,11.87,7.3,3.75
35,2022-02-09,137.79,17.55,12.55,7.82,4.1
36,2022-02-10,133.52,14.5,9.85,6,3.05
37,2022-02-11,132.69,14.5,9.65,5.85,2.98
38,2022-02-14,130.15,11.4,7.4,4.25,1.87
39,2022-02-15,129.94,11.02,6.92,3.6,1.43
40,2022-02-16,129.18,10.18,6.0,2.99,1.08
41,2022-02-17,124.97,7.3,3.75,1.59,0.56
42,2022-02-18,124.35,6.45,3.25,1.32,0.45
43,2022-02-22,123.92,6.07,2.92,1.04,0.29
44,2022-02-23,122.07,5.0,2.1,0.71,0.22
45,2022-02-24,121.97,4.45,1.74,0.57,0.17
46,2022-02-25,124.18,5.55,2.52,0.79,0.19
47,2022-02-28,122.51,3.8,1.5,0.52,0.13
48,2022-03-01,121.35,4.15,1.9,0.53,0.14
49,2022-03-02,123.86,4.5,2.33,0.61,0.15
50,2022-03-03,125.93,7.25,3.45,1.16,0.29
51,2022-03-04,126.62,7.64,3.8,1.4,0.36
52,2022-03-07,126.07,7.5,3.69,1.27,0.32
53,2022-03-08,125.68,,3.2,1.09,0.25
54,2022-03-09,126.22,,3.67,0.91,0.16
55,2022-03-10,124.35,5.15,1.95,0.35,0.08
56,2022-03-11,123.96,4.85,1.65,0.26,0.06
57,2022-03-14,123.94,4.2,1.25,0.13,0.03
58,2022-03-15,125.64,6.12,1.9,0.17,0.03
59,2022-03-16,127.04,6.33,2.5,0.13,0.03
60,2022-03-17,127.96,7.8,2.78,0.08,0.01
61,2022-03-18,128.76,8.75,3.77,0.02,0.01
