,Date,Underlying,C141
0,2023-01-23,141.86,4.45
1,2023-01-24,141.49,3.85
2,2023-01-25,140.76,3.64
3,2023-01-26,134.45,0.38
4,2023-01-27,134.39,0.34
5,2023-01-30,135.3,0.32
6,2023-01-31,134.73,0.17
7,2023-02-01,135.09,0.14
8,2023-02-02,136.39,0.25
9,2023-02-03,136.94,0.22
10,2023-02-06,136.18,0.13
11,2023-02-07,135.84,0.1
12,2023-02-08,135.98,0.16
13,2023-02-09,133.75,0.08
14,2023-02-10,135.6,0.17
15,2023-02-13,137.35,0.25
16,2023-02-14,136.01,0.05
17,2023-02-15,136.4,0.02
18,2023-02-16,135.0,0.01
19,2023-02-17,135.02,0.01
