Unnamed: 0,date,C,K,expiration_date,initial_moneyness,option_id,S,TTM,r,IV,delta
1230,2019-06-21,201.0,20.0,2019-06-21,OTM,TSLA_2019-06-21_K20,14.790651876000002,0.0,0.0207796008824231,,
5307,2022-09-19,40.45,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,309.07,0.08767123287671233,0.0306756540584586,0.5212324058537893,0.8027191993589997
5308,2022-09-20,42.03,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,308.73,0.08493150684931507,0.0324129776322122,0.6003037446924288,0.7777244978328899
5309,2022-09-21,42.5,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,300.8,0.0821917808219178,0.0320111326256839,0.8298176824881857,0.693905030116712
5310,2022-09-22,26.6,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,288.59,0.07945205479452055,0.0316091260748283,0.5883066857916485,0.6513391930219953
5311,2022-09-23,19.35,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,275.33,0.07671232876712329,0.0312767432112891,0.6215359099645212,0.5425966190510955
5312,2022-09-26,19.45,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,276.01,0.0684931506849315,0.0315732766791047,0.6493926631284433,0.547470000173641
5313,2022-09-27,23.55,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,282.94,0.06575342465753424,0.0324381480894541,0.6667434337029217,0.6042813991986286
5314,2022-09-28,26.3,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,287.81,0.06301369863013699,0.0323597303464799,0.6710343000153087,0.6430482872321316
5315,2022-09-29,15.42,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,268.21,0.06027397260273973,0.0321573647990562,0.6924471155179229,0.4797978377987646
5316,2022-09-30,13.75,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,265.25,0.057534246575342465,0.0318997494057897,0.6977425538170724,0.4518289621924367
5317,2022-10-03,4.25,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,242.4,0.049315068493150684,0.0316478807326586,0.6662834055275378,0.2211625677741758
5318,2022-10-04,5.12,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,249.44,0.04657534246575343,0.0332858288239319,0.6354297707948272,0.26385849758487145
5319,2022-10-05,3.05,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,240.81,0.043835616438356165,0.0330081860767742,0.6454340266553747,0.18295074680852114
5320,2022-10-06,2.58,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,238.13,0.0410958904109589,0.0330807482420224,0.6661626151872118,0.16148294731246904
5321,2022-10-07,0.89,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,223.07,0.038356164383561646,0.0330188288571718,0.6892961748085956,0.07031895485013603
5322,2022-10-10,0.61,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,222.96,0.030136986301369864,0.0330188288571718,0.7207084606322779,0.054117657991470204
5323,2022-10-11,0.4,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,216.5,0.0273972602739726,0.0336629898887475,0.7800320712296906,0.03747193001840394
5324,2022-10-12,0.34,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,217.24,0.024657534246575342,0.0355003395995465,0.789917982739015,0.03349882083638304
5325,2022-10-13,0.31,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,221.72,0.021917808219178082,0.0362190974240674,0.7637127476831558,0.03279962981058656
5326,2022-10-14,0.25,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,204.99,0.019178082191780823,0.0364322135148013,1.0316838766966603,0.0238450939684497
5327,2022-10-17,0.13,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,219.35,0.010958904109589041,0.0369257741016697,0.9875533001568112,0.016525741896004705
5328,2022-10-18,0.17,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,220.19,0.00821917808219178,0.0384665827145428,1.1678708487273466,0.020503522427991187
5329,2022-10-19,0.32,275.0,2022-10-21,ATM,TSLA_2022-10-21_K275,222.04,0.005479452054794521,0.0389350954453499,1.53030539815785,0.033634899321920646
