,Date,Underlying,C145
0,2023-09-18,145.09,
1,2023-09-19,146.52,5.98
2,2023-09-20,149.83,8.35
3,2023-09-21,147.38,7.3
4,2023-09-22,146.91,6.73
5,2023-09-25,146.48,6.4
6,2023-09-26,143.24,4.9
7,2023-09-27,143.17,4.65
8,2023-09-28,141.58,3.85
9,2023-09-29,140.3,3.05
10,2023-10-02,140.8,3.35
11,2023-10-03,140.39,3.35
12,2023-10-04,141.07,3.32
13,2023-10-05,141.52,3.72
14,2023-10-06,142.03,3.85
15,2023-10-09,142.2,3.6
16,2023-10-10,142.11,3.7
17,2023-10-11,143.23,3.9
18,2023-10-12,141.24,3.1
19,2023-10-13,138.46,2.29
20,2023-10-16,139.21,2.17
21,2023-10-17,140.32,2.54
22,2023-10-18,139.97,2.72
23,2023-10-19,138.01,2.07
24,2023-10-20,137.16,1.74
25,2023-10-23,136.38,1.36
26,2023-10-24,137.79,1.49
27,2023-10-25,137.08,1.56
28,2023-10-26,143.76,2.93
29,2023-10-27,142.52,2.19
30,2023-10-30,142.63,2.11
31,2023-10-31,144.64,2.68
32,2023-11-01,145.4,2.87
33,2023-11-02,147.01,3.5
34,2023-11-03,147.9,4.2
35,2023-11-06,148.97,4.67
36,2023-11-07,148.83,4.54
37,2023-11-08,148.03,4.11
38,2023-11-09,146.62,4.2
39,2023-11-10,149.02,5.84
40,2023-11-13,148.1,4.95
41,2023-11-14,150.41,7.0
42,2023-11-15,152.58,8.6
43,2023-11-16,153.06,8.27
44,2023-11-17,152.89,9.16
45,2023-11-20,154.35,10.24
46,2023-11-21,153.91,9.67
47,2023-11-22,155.13,11.1
48,2023-11-24,155.18,10.5
49,2023-11-27,155.57,11.27
50,2023-11-28,155.65,11.05
51,2023-11-29,156.41,12.25
52,2023-11-30,158.56,13.05
53,2023-12-01,160.55,15.7
54,2023-12-04,161.1,16.53
55,2023-12-05,161.39,16.65
56,2023-12-06,160.28,15.3
57,2023-12-07,160.22,15.67
58,2023-12-08,161.96,16.24
59,2023-12-11,163.51,18.5
60,2023-12-12,164.71,19.7
61,2023-12-13,163.62,18.49
62,2023-12-14,162.91,17.8
63,2023-12-15,162.23,17.5
